month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2020-04,A DIVISION,5,2,700,836,0.837320574
2020-04,A DIVISION,6,1,3603,3926,0.917727967
2020-04,A DIVISION,6,2,804,1128,0.712765957
2020-04,A DIVISION,7,1,3486,4196,0.83079123
2020-04,A DIVISION,7,2,1050,1628,0.644963145
2020-04,B DIVISION,A,1,2295,2602,0.882013836
2020-04,B DIVISION,D,1,2842,3146,0.903369358
2020-04,B DIVISION,D,2,720,924,0.779220779
2020-04,B DIVISION,E,2,667,840,0.794047619
2020-04,B DIVISION,E,1,2504,2808,0.891737892
2020-04,B DIVISION,F,2,632,836,0.755980861
2020-04,B DIVISION,F,1,2486,2808,0.885327635
2020-04,B DIVISION,G,2,816,1023,0.797653959
2020-04,B DIVISION,G,1,2455,3440,0.713662791
2020-04,B DIVISION,JZ,1,2375,3068,0.774119948
2020-04,B DIVISION,JZ,2,673,896,0.751116071
2020-04,B DIVISION,L,2,569,576,0.987847222
2020-04,B DIVISION,L,1,3131,3263,0.95954643
2020-04,B DIVISION,M,1,2359,2916,0.808984911
2020-04,B DIVISION,M,2,641,1110,0.577477477
2020-04,B DIVISION,N,1,2245,3198,0.702001251
2020-04,B DIVISION,N,2,485,944,0.513771186
2020-04,B DIVISION,Q,1,2834,3276,0.865079365
2020-04,B DIVISION,Q,2,808,1088,0.742647059
2020-04,B DIVISION,R,1,2374,2808,0.845441595
2020-04,B DIVISION,R,2,715,864,0.827546296
2020-04,B DIVISION,S Fkln,1,3053,3068,0.995110821
2020-04,B DIVISION,S Fkln,2,846,848,0.997641509
2020-04,B DIVISION,S Rock,1,1800,1820,0.989010989
2020-04,B DIVISION,S Rock,2,623,626,0.995207668
2020-04,Systemwide,Systemwide,1,55613,63557,0.875009834
2020-04,Systemwide,Systemwide,2,13615,18103,0.75208529
2020-03,A DIVISION,1,1,6403,6952,0.921029919
2020-03,A DIVISION,1,2,2111,2227,0.947911989
2020-03,A DIVISION,2,1,4121,4864,0.847245066
2020-03,A DIVISION,2,2,1123,1508,0.74469496
2020-03,A DIVISION,3,2,1233,1452,0.849173554
2020-03,A DIVISION,3,1,4143,4500,0.920666667
2020-03,A DIVISION,4,1,4709,5470,0.860877514
2020-03,A DIVISION,4,2,1431,1842,0.776872964
2020-03,A DIVISION,5,1,4132,4761,0.867884898
2020-03,A DIVISION,5,2,1812,1922,0.94276795
2020-03,A DIVISION,6,1,7286,8380,0.869451074
2020-03,A DIVISION,6,2,1701,1948,0.873203285
2020-03,A DIVISION,7,1,9094,9775,0.930332481
2020-03,A DIVISION,7,2,2218,2514,0.882259348
2020-03,B DIVISION,A,1,4288,5662,0.757329566
2020-03,B DIVISION,A,2,1767,2428,0.727759473
2020-03,B DIVISION,B,1,2361,2940,0.803061224
2020-03,B DIVISION,C,1,2431,3000,0.810333333
2020-03,B DIVISION,C,2,548,774,0.708010336
2020-03,B DIVISION,D,1,3171,4110,0.771532847
2020-03,B DIVISION,D,2,1313,1537,0.854261548
2020-03,B DIVISION,E,2,1352,1466,0.922237381
2020-03,B DIVISION,E,1,5239,6154,0.851316217
2020-03,B DIVISION,F,1,4656,5875,0.792510638
2020-03,B DIVISION,F,2,1205,1451,0.830461751
2020-03,B DIVISION,G,1,3476,4350,0.79908046
2020-03,B DIVISION,G,2,1571,1785,0.880112045
2020-03,B DIVISION,JZ,1,3639,4184,0.869741874
2020-03,B DIVISION,JZ,2,1320,1550,0.851612903
2020-03,B DIVISION,L,1,6895,7554,0.912761451
2020-03,B DIVISION,L,2,1817,1828,0.993982495
2020-03,B DIVISION,M,1,3866,4387,0.881240027
2020-03,B DIVISION,M,2,1617,1913,0.845269211
2020-03,B DIVISION,N,2,1128,1560,0.723076923
2020-03,B DIVISION,N,1,4867,6900,0.705362319
2020-03,B DIVISION,Q,1,3942,4728,0.833756345
2020-03,B DIVISION,Q,2,2030,2312,0.878027682
2020-03,B DIVISION,R,2,1416,1504,0.941489362
2020-03,B DIVISION,R,1,3523,4230,0.83286052
2020-03,A DIVISION,S 42nd,2,2344,2360,0.993220339
2020-03,A DIVISION,S 42nd,1,7690,7740,0.993540052
2020-03,B DIVISION,S Fkln,1,3518,3540,0.993785311
2020-03,B DIVISION,S Fkln,2,1462,1470,0.994557823
2020-03,B DIVISION,S Rock,1,2461,2520,0.976587302
2020-03,B DIVISION,S Rock,2,1059,1075,0.985116279
2020-03,Systemwide,Systemwide,1,105911,122576,0.864043532
2020-03,Systemwide,Systemwide,2,33578,38426,0.873835424
2020-02,A DIVISION,1,1,8130,9309,0.873348373
2020-02,A DIVISION,1,2,4421,4668,0.947086547
2020-02,A DIVISION,2,1,5019,6156,0.815302144
2020-02,A DIVISION,2,2,1848,2648,0.697885196
2020-02,A DIVISION,3,1,5006,5746,0.871214758
2020-02,A DIVISION,3,2,1710,2097,0.815450644
2020-02,A DIVISION,4,1,5542,7026,0.788784515
2020-02,A DIVISION,4,2,2136,2700,0.791111111
2020-02,A DIVISION,5,1,5072,6199,0.818196483
2020-02,A DIVISION,5,2,1678,1901,0.882693319
2020-02,A DIVISION,6,2,2555,2860,0.893356643
2020-02,A DIVISION,6,1,8430,10585,0.796410014
2020-02,A DIVISION,7,2,3556,3740,0.950802139
2020-02,A DIVISION,7,1,11532,12376,0.931803491
2020-02,B DIVISION,A,1,5300,7135,0.742817099
2020-02,B DIVISION,A,2,2488,3021,0.823568355
2020-02,B DIVISION,B,1,2629,3724,0.705961332
2020-02,B DIVISION,C,1,3010,3800,0.792105263
2020-02,B DIVISION,C,2,1308,1572,0.832061069
2020-02,B DIVISION,D,1,3686,5206,0.708029197
2020-02,B DIVISION,D,2,1976,2260,0.874336283
2020-02,B DIVISION,E,2,1911,2110,0.905687204
2020-02,B DIVISION,E,1,6237,7788,0.800847458
2020-02,B DIVISION,F,2,1725,2104,0.81986692
2020-02,B DIVISION,F,1,5402,7443,0.725782615
2020-02,B DIVISION,G,2,2190,2642,0.828917487
2020-02,B DIVISION,G,1,4258,5509,0.772917045
2020-02,B DIVISION,JZ,2,1956,2264,0.863957597
2020-02,B DIVISION,JZ,1,4452,5296,0.840634441
2020-02,B DIVISION,L,1,8599,9395,0.915274082
2020-02,B DIVISION,L,2,2901,3034,0.956163481
2020-02,B DIVISION,M,2,2533,2790,0.907885305
2020-02,B DIVISION,M,1,4440,5301,0.837577816
2020-02,B DIVISION,N,2,1366,2202,0.620345141
2020-02,B DIVISION,N,1,5520,8683,0.63572498
2020-02,B DIVISION,Q,1,5046,6289,0.802353315
2020-02,B DIVISION,Q,2,2192,2452,0.893964111
2020-02,B DIVISION,R,1,4209,5343,0.787759686
2020-02,B DIVISION,R,2,1913,2160,0.885648148
2020-02,A DIVISION,S 42nd,2,2768,2782,0.994967649
2020-02,A DIVISION,S 42nd,1,9584,9664,0.991721854
2020-02,B DIVISION,S Fkln,2,2121,2148,0.987430168
2020-02,B DIVISION,S Fkln,1,4470,4484,0.996877788
2020-02,B DIVISION,S Rock,1,3146,3195,0.984663537
2020-02,B DIVISION,S Rock,2,1302,1326,0.981900452
2020-02,Systemwide,Systemwide,1,128719,155652,0.826966566
2020-02,Systemwide,Systemwide,2,48554,55481,0.875146447
2020-01,A DIVISION,1,1,9036,10554,0.856168277
2020-01,A DIVISION,1,2,2866,3050,0.939672131
2020-01,A DIVISION,2,1,6059,7330,0.826603001
2020-01,A DIVISION,2,2,1674,2340,0.715384615
2020-01,A DIVISION,3,1,5732,6603,0.868090262
2020-01,A DIVISION,3,2,1527,1875,0.8144
2020-01,A DIVISION,4,1,6552,8124,0.806499261
2020-01,A DIVISION,4,2,1890,2390,0.790794979
2020-01,A DIVISION,5,1,6150,7230,0.850622407
2020-01,A DIVISION,5,2,1594,1766,0.902604757
2020-01,A DIVISION,6,2,2170,2528,0.858386076
2020-01,A DIVISION,6,1,10238,12243,0.836232949
2020-01,A DIVISION,7,2,3013,3212,0.938044832
2020-01,A DIVISION,7,1,13310,14539,0.915468739
2020-01,B DIVISION,A,1,6010,8254,0.728131815
2020-01,B DIVISION,A,2,2221,2724,0.815345081
2020-01,B DIVISION,B,1,3083,4312,0.714981447
2020-01,B DIVISION,C,1,3424,4400,0.778181818
2020-01,B DIVISION,C,2,1042,1398,0.745350501
2020-01,B DIVISION,D,2,1683,2074,0.81147541
2020-01,B DIVISION,D,1,4268,6028,0.708029197
2020-01,B DIVISION,E,2,1690,1884,0.897027601
2020-01,B DIVISION,E,1,7165,8898,0.805237132
2020-01,B DIVISION,F,2,1448,1874,0.772678762
2020-01,B DIVISION,F,1,6656,9179,0.725133457
2020-01,B DIVISION,G,2,1854,2318,0.799827437
2020-01,B DIVISION,G,1,4980,6380,0.780564263
2020-01,B DIVISION,JZ,2,1674,2004,0.835329341
2020-01,B DIVISION,JZ,1,5098,6133,0.831240828
2020-01,B DIVISION,L,2,2726,2816,0.968039773
2020-01,B DIVISION,L,1,10077,10783,0.93452657
2020-01,B DIVISION,M,2,2168,2424,0.894389439
2020-01,B DIVISION,M,1,4949,6160,0.803409091
2020-01,B DIVISION,N,2,1394,2027,0.687715836
2020-01,B DIVISION,N,1,6673,9843,0.677943716
2020-01,B DIVISION,Q,1,5854,6910,0.847178003
2020-01,B DIVISION,Q,2,1765,2222,0.794329433
2020-01,B DIVISION,R,1,4727,6204,0.761927789
2020-01,B DIVISION,R,2,1662,1940,0.856701031
2020-01,A DIVISION,S 42nd,2,2746,2755,0.996733212
2020-01,A DIVISION,S 42nd,1,11823,11968,0.987884358
2020-01,B DIVISION,S Fkln,1,5183,5192,0.998266564
2020-01,B DIVISION,S Fkln,2,1889,1894,0.997360084
2020-01,B DIVISION,S Rock,1,3596,3696,0.972943723
2020-01,B DIVISION,S Rock,2,1360,1395,0.974910394
2020-01,Systemwide,Systemwide,1,150643,180963,0.832451938
2020-01,Systemwide,Systemwide,2,42056,48910,0.859865058
